Product code,Language,Vendor,Product type,Product id
"DRJ-DTX","en","Dr Js Natural","P","99"
"","en","Dr Js Natural","P","100"
"","en","Dr Js Natural","P","101"
"","en","Dr Js Natural","P","102"
"","en","Qyksonic","P","103"
"","en","Rakesh Enterprises","P","104"
"","en","Rakesh Enterprises","P","105"
"","en","I Storage India","P","106"
"","en","I Storage India","P","107"
"","en","I Storage India","P","108"
"","en","I Storage India","P","109"
"","en","I Storage India","P","110"
"","en","I Storage India","P","111"
"","en","I Storage India","P","113"
"","en","I Storage India","P","114"
"","en","I Storage India","P","115"
"","en","iTumm","P","116"
"","en","I Storage India","P","117"
"","en","I Storage India","P","118"
"","en","I Storage India","P","119"
"","en","I Storage India","P","120"
"","en","I Storage India","P","121"
"","en","I Storage India","P","122"
"","en","I Storage India","P","123"
"","en","iTumm","P","126"
"","en","iTumm","P","127"
"","en","I Storage India","P","128"
"","en","Mana Ayurvedha","P","129"
"","en","Mana Ayurvedha","P","130"
"","en","Mana Ayurvedha","P","131"
"","en","Mana Ayurvedha","P","133"
"","en","Mana Ayurvedha","P","134"
"","en","Mana Ayurvedha","P","135"
"","en","Mana Ayurvedha","P","136"
"","en","Mana Ayurvedha","P","137"
"","en","Mana Ayurvedha","P","138"
"","en","Mana Ayurvedha","P","139"
"","en","Mana Ayurvedha","P","140"
"","en","Mana Ayurvedha","P","141"
"","en","Mana Ayurvedha","P","142"
"","en","Mana Ayurvedha","P","143"
"","en","Mana Ayurvedha","P","144"
"","en","Mana Ayurvedha","P","145"
"","en","Mana Ayurvedha","P","146"
"","en","Mana Ayurvedha","P","147"
"","en","Mana Ayurvedha","P","148"
"","en","Mana Ayurvedha","P","149"
"","en","Mana Ayurvedha","P","150"
"","en","Mana Ayurvedha","P","151"
"","en","Mana Ayurvedha","P","152"
"","en","Mana Ayurvedha","P","153"
"","en","Mana Ayurvedha","P","154"
"","en","Mana Ayurvedha","P","155"
"","en","Mana Ayurvedha","P","156"
